estu_genero,fami_educacionpadre,fami_educacionmadre,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,fami_tieneautomovil,edad,pago_promedio,estu_economia,distancia,presencial,punt_global,Region Amazonica,Region Andina,Region Caribe,Region Orinoquia,Region Pacifica
0,5.0,11.0,3,1,1,1,30,1750.0,0,0,1,148,0,1,0,0,0
1,8.0,8.0,3,1,1,1,27,6250.0,1,0,1,136,0,1,0,0,0
0,0.0,11.0,1,1,1,1,21,500.0,0,0,1,161,0,0,0,0,1
0,5.0,5.0,3,1,1,0,20,7000.0,1,0,1,169,0,1,0,0,0
0,14.0,15.0,3,1,0,0,19,3250.0,1,0,1,158,0,1,0,0,0
0,5.0,12.0,1,1,1,0,19,6250.0,0,0,1,169,0,1,0,0,0
0,13.0,15.0,2,1,1,1,23,3250.0,1,0,1,145,0,1,0,0,0
1,11.0,11.0,3,1,1,1,24,500.0,0,0,1,186,0,0,0,0,1
0,11.0,11.0,2,1,1,1,23,6250.0,0,0,1,151,0,1,0,0,0
1,11.0,8.0,4,1,1,1,38,1750.0,1,1,0,182,0,1,0,0,0
1,11.0,15.0,3,1,1,0,20,3250.0,1,0,1,150,0,1,0,0,0
1,13.0,5.0,5,1,0,0,34,1750.0,0,0,1,162,0,1,0,0,0
0,0.0,0.0,3,1,1,1,40,1750.0,0,0,1,136,0,1,0,0,0
0,11.0,8.0,2,1,1,0,35,3250.0,1,0,1,173,0,1,0,0,0
1,17.0,15.0,6,1,1,1,20,7000.0,1,0,1,201,0,1,0,0,0
1,17.0,17.0,4,1,1,1,20,7000.0,1,0,1,210,0,1,0,0,0
0,10.189361702127659,10.0,3,0,0,0,21,500.0,1,0,1,171,0,1,0,0,0
0,11.0,8.0,2,1,1,0,19,6250.0,0,0,1,187,0,1,0,0,0
0,8.0,0.0,1,1,1,0,22,0.0,0,0,1,160,0,0,0,0,1
1,15.0,15.0,6,1,1,1,21,7000.0,1,0,1,188,0,1,0,0,0
0,11.0,8.0,2,1,1,0,21,500.0,1,0,1,164,0,0,1,0,0
0,5.0,5.0,4,1,1,1,23,750.0,1,0,1,167,0,1,0,0,0
0,8.0,11.0,1,1,1,0,22,0.0,1,0,1,125,0,0,0,0,1
0,11.0,15.0,2,1,1,0,21,1750.0,0,0,1,112,0,0,0,0,1
0,15.0,17.0,4,1,1,1,22,1750.0,1,0,1,167,0,1,0,0,0
1,3.0,11.0,3,1,1,0,24,4750.0,1,0,1,179,0,1,0,0,0
1,17.0,17.0,4,1,1,1,21,7000.0,1,0,1,184,0,1,0,0,0
1,17.0,17.0,3,1,1,1,22,7000.0,1,0,1,171,0,1,0,0,0
1,17.0,15.0,4,1,1,1,22,4750.0,1,0,1,197,0,1,0,0,0
0,11.0,3.0,1,1,1,0,21,0.0,1,0,1,157,0,0,0,0,1
0,15.0,15.0,4,1,1,0,21,7000.0,1,0,1,209,0,1,0,0,0
1,3.0,11.0,2,1,1,0,22,500.0,0,0,1,176,0,0,0,0,1
1,3.0,5.0,2,1,1,1,44,500.0,1,1,0,149,0,1,0,0,0
1,15.0,14.0,4,1,1,1,20,3250.0,1,0,1,186,0,1,0,0,0
0,17.0,15.0,4,1,1,1,22,7000.0,1,0,1,205,0,1,0,0,0
