Product code	Product label	Colombia's imports from United States of America-Value in 2002	Colombia's imports from United States of America-Value in 2003	Colombia's imports from United States of America-Value in 2004	Colombia's imports from United States of America-Value in 2005	Colombia's imports from United States of America-Value in 2006	Colombia's imports from United States of America-Value in 2007	Colombia's imports from United States of America-Value in 2008	Colombia's imports from United States of America-Value in 2009	Colombia's imports from United States of America-Value in 2010	Colombia's imports from United States of America-Value in 2011	Colombia's imports from United States of America-Value in 2012	Colombia's imports from United States of America-Value in 2013	Colombia's imports from United States of America-Value in 2014	Colombia's imports from United States of America-Value in 2015	Colombia's imports from United States of America-Value in 2016	Colombia's imports from United States of America-Value in 2017	Colombia's imports from United States of America-Value in 2018	Colombia's imports from United States of America-Value in 2019	Colombia's imports from United States of America-Value in 2020	Colombia's imports from United States of America-Value in 2021	United States of America's exports to world- 	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	United States of America's exports to world-Value in 2018	United States of America's exports to world-Value in 2019	United States of America's exports to world-Value in 2020	United States of America's exports to world-Value in 2021	Colombia's imports from world- 	Colombia's imports from world-Value in 2002	Colombia's imports from world-Value in 2003	Colombia's imports from world-Value in 2004	Colombia's imports from world-Value in 2005	Colombia's imports from world-Value in 2006	Colombia's imports from world-Value in 2007	Colombia's imports from world-Value in 2008	Colombia's imports from world-Value in 2009	Colombia's imports from world-Value in 2010	Colombia's imports from world-Value in 2011	Colombia's imports from world-Value in 2012	Colombia's imports from world-Value in 2013	Colombia's imports from world-Value in 2014	Colombia's imports from world-Value in 2015	Colombia's imports from world-Value in 2016	Colombia's imports from world-Value in 2017	Colombia's imports from world-Value in 2018	Colombia's imports from world-Value in 2019	Colombia's imports from world-Value in 2020	Colombia's imports from world-Value in 2021	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"	161787	151612	172144	251448	323552	387897	479269	402135	478799	530895	566208	586620	655990	557049	430316	421579	439445	414186	349897			41168421	44067513	50443134	54392916	61891052	66274998	70620277	65076438	73960067	79383779	83367062	84353330	84966350	83433294	82016451	83639334	89651535	90828117	83222109	91680459		355953	373876	434917	571993	775539	892371	1082515	986395	1211792	1442750	1578930	1706772	1876061	1652161	1389114	1373150	1520476	1498688	1482696		
05	"Products of animal origin, not elsewhere specified or included"	3107	2804	1699	2060	2407	3177	3165	2848	3487	3999	2678	3867	5655	6278	7831	7336	6120	5334	4617			591549	634668	567271	670457	744320	868087	1095771	779465	741571	842574	894879	1024331	1236528	1131606	1013436	1150732	1301722	1302786	1149932	1243700		10879	13462	9521	13738	13325	12826	17645	14169	13088	13039	15410	16307	21530	24426	25233	16464	17515	12130	11380		
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	3567	2995	2799	2157	1966	1908	1790	2599	1990	2922	3101	2917	2976	3363	3472	2399	2359	1002	409			269747	289308	313536	341782	387790	419583	443145	405437	416043	423746	400532	417632	421387	411240	427109	447219	460120	457315	429310	518623		19228	23568	21932	21041	21544	22402	19873	21759	22582	28059	29892	27647	28573	27561	31419	35250	36805	34311	38213		
22	"Beverages, spirits and vinegar"	1039	673	1063	1622	2651	3750	2889	3810	4678	9456	13878	31613	29890	31963	33066	73001	122472	156073	157140			1766536	2002666	2265015	2305388	2696847	3411882	3798018	3601291	4712807	7814659	6887352	6951945	7626449	7554313	7709180	8297603	8678052	7973158	7732568	8618041		53851	57709	66611	82324	111607	131247	120487	123631	157633	182339	239590	290047	285656	350825	461938	510187	596661	451938	418740		
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	7659	8315	10513	12220	14524	16579	34107	19660	27544	34369	35062	26158	21269	23005	18634	22472	18943	14771	13388			1481735	1543871	1684298	1669688	1939168	2013815	2220737	1622744	2264617	2501860	2616724	2596576	2855832	2681143	2413274	2841252	3009483	2605769	2208187	2828406		36596	42186	50793	62224	64218	82738	137294	81221	112552	159004	175280	192623	238225	319077	292957	242560	162509	164127	137382		
43	"Furskins and artificial fur; manufactures thereof"	81	44	11	20	25	20	4	5	15	17	6	7	0	5	3	1	1	2	2			205161	183087	215675	221149	286560	325927	341863	207396	289218	423007	614271	702472	583208	533543	373959	287003	200084	144956	158671	142933		172	70	57	201	415	484	162	228	307	445	408	319	243	115	247	362	203	267	52		
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	17	17	9	28	64	58	45	14	23	14	6	14	4	29	24	13	22	27	60			26127	26364	25665	35387	39543	31196	32322	27688	23094	21324	23597	22121	21161	18407	16620	18161	20502	17668	20525	26863		314	303	421	543	1147	1184	1325	800	1189	1455	1666	1078	1378	1364	861	1094	1282	1323	881		
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	2125	3080	2423	6100	4546	5191	6642	4920	6244	7033	8164	12109	10789	10237	6459	10710	9096	7808	9183			954782	987563	1064271	1215687	1292122	1430522	1511387	1485474	1650142	1894217	1999850	2166122	2226059	2182300	2001634	2138086	2179217	2227602	2458741	2876826		26560	26293	33837	49023	48741	68388	87074	71339	98078	139689	147943	119325	122537	106303	79952	99014	111580	95955	509364		
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	27	22	108	38	44	60	191	85	109	134	87	68	175	128	103	30	78	90	15			11292	10061	12046	14952	17428	19448	22802	18799	22538	30253	31807	29477	32224	33409	32644	38286	36872	39324	33895	44693		1099	978	1443	2018	4826	4961	6536	5207	7641	14668	13921	10661	12687	8967	7442	10447	10422	9600	5872		
70	"Glass and glassware"	13392	11738	16977	18042	25055	39229	39546	25199	39125	36775	39196	40907	49030	43332	26928	21460	19403	18972	16090			3447195	3581134	3608002	3662796	4445368	4829428	5088109	4144818	4996741	5338932	5295622	5602321	5780073	5785593	5762657	5829209	5801333	5545605	4952161	5634457		64979	58578	72435	98458	124775	171585	186118	153160	195366	243393	259337	256593	258152	234500	204166	200860	202959	215521	170897		
73	"Articles of iron or steel"	56111	49253	64784	91148	123042	181236	266759	248741	221118	284541	309625	239807	251883	176969	97310	118843	141969	141614	92588			8017369	8176371	9444121	11303473	13490562	14872820	17720371	13797469	16197384	18519857	21154320	22056098	22628933	19636378	17517569	18440969	19261452	18701069	16026527	19246740		158660	167674	215642	354723	445677	674725	1012839	905509	914436	1589824	1381961	1193680	1264631	907112	618614	810119	976798	988075	657902		
93	"Arms and ammunition; parts and accessories thereof"	17538	37279	20321	29819	47104	66502	51636	72161	78776	48537	40450	32935	46337	23196	21015	19467	17236	22014	18394			2095648	1786510	2302295	2271276	2946085	3208675	3180202	3434293	3976384	3936050	4055539	4634801	4550285	5016842	5402536	5283053	5563611	5998415	4295586	4247433		62136	108921	80879	97235	99654	149020	166810	147522	213670	96168	70953	73169	119238	71189	60730	40806	27787	40729	45998		
07	"Edible vegetables and certain roots and tubers"	1679	1571	1886	2288	2444	5336	5681	8104	9758	12757	9637	12497	16530	23845	33707	52336	25961	26622	33964			1927826	2045684	2170072	2431676	2680588	3009946	3467752	3400734	3784500	3939248	4044614	4404553	4511544	4362841	4690218	4785976	4503219	4685649	4839377	4912059		71547	62669	65175	73791	70001	86079	104851	104506	155303	181832	183599	151209	151146	163766	195777	176388	151633	159060	195669		
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	12926	2844	4179	2361	4399	2620	5095	4212	5694	7915	14363	21434	31120	34983	31711	27454	28723	26048	20696			1469697	1587586	1766653	1972728	2060772	2329133	2783343	2850693	3087156	3505309	3887706	4194044	4254565	4280822	4055684	4066085	4158344	4281040	4276457	4264615		57407	52424	52723	57806	75804	96317	119845	101590	113440	147843	175689	195730	208871	213309	203154	189823	210775	199958	196865		
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	47323	63580	77446	204896	235372	393830	1138964	926644	1601400	2559414	3847813	5012348	6650175	4357868	2988832	2514511	2577298	3307815	1814244			11729396	14164635	19053068	26688458	34940264	42015519	76711358	54936720	81692032	130566668	137332529	148872444	155608248	104781536	94005494	139571912	192249974	199543997	151164069	239780824		195934	244251	268061	551269	687315	913811	1815188	1239237	2081112	3854233	5661810	6388883	7561288	5133498	3834973	3723037	3535361	4328365	2202241		
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"	35197	32715	40926	43849	50291	61017	73718	68399	89825	113695	105724	102473	111132	102806	92699	94332	105205	87991	75984			4074693	4367478	4773877	5132342	5535777	5987290	6447642	5739488	7629810	8826328	8161700	7825310	7966092	7591407	7440857	7858787	7990794	7525792	6752078	7975312		146656	148863	173962	197398	226691	265993	280380	248007	311757	379850	386872	376292	426353	389897	366158	378690	429653	400376	359529		
37	"Photographic or cinematographic goods"	22095	23532	20236	21025	31447	32063	29963	23264	24151	23177	25491	24928	21131	18406	17853	14446	14743	12998	10311			2869022	2928062	2946797	2823401	3028531	3012332	3058268	2777800	2832930	2760977	2573655	2560816	2370759	2364628	2226495	2191916	2219659	2296087	2048010	2294172		69022	67346	67385	65540	71892	68003	64837	59854	66304	65393	68408	65097	57887	49323	40508	37084	36811	33920	23574		
40	"Rubber and articles thereof"	43752	45736	57058	60313	71124	83317	108246	114275	134103	156687	154906	129638	109355	110444	96621	135756	125396	127997	80610			6456377	6630714	7563879	8511643	9646197	10726524	11501348	9607179	12121181	14889441	15724935	14789369	14923993	13617991	12595899	13438262	13983607	13226693	11191664	13140740		265053	273364	351584	434303	540675	628167	744228	709217	859248	1150005	1205328	1151860	1131057	969527	846116	929266	977528	891857	714329		
52	"Cotton"	60813	99677	97793	107015	133974	106506	102734	94811	117179	146804	80483	98657	83894	70952	76247	74440	86867	58051	28830			3982423	5218009	6376838	5903846	6465585	6371234	6643917	4924276	7544221	11067177	8284412	7636779	6521498	5873289	5694143	7635204	8380758	7898906	6996960	7157498		232203	260850	290532	276312	371001	392476	373388	331241	464755	566219	499298	458604	510985	419538	420783	373170	485097	391072	250183		
64	"Footwear, gaiters and the like; parts of such articles"	524	838	1059	611	700	2129	2952	2294	2233	3694	1254	1920	1781	2096	981	1804	866	1085	1046			701156	694005	653571	730510	829360	887422	1038396	945299	1105454	1290039	1332305	1391432	1455212	1463742	1367745	1432623	1562378	1637035	1136086	1147291		74940	78994	101606	140213	176790	208031	244596	248225	328243	490886	549398	490251	481340	391322	336360	355341	396212	400189	280617		
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair"	254	136	76	257	274	350	542	352	505	657	613	367	559	347	225	266	220	561	331			49497	51429	53227	57765	62932	75705	90602	81292	88391	102704	111383	120831	128422	138397	141953	152716	161185	149505	118227	131054		2113	1419	1738	2013	3061	4377	6049	5039	6498	9647	10615	10269	12419	11797	10539	12567	15772	16351	10469		
76	"Aluminium and articles thereof"	16696	9792	10990	11462	15089	19125	22113	19291	27014	27907	28682	54044	38034	39491	33486	29723	29915	22019	17038			4923054	4993940	5990312	7511239	10100968	11097154	11942021	8362993	10625016	12975642	12783556	13053200	12736128	12046082	12237317	11588064	12583681	10933314	9380978	12022206		136361	137085	175926	216748	328872	347263	318131	203042	275406	317482	367910	374062	417633	404565	369488	407577	444858	383214	349335		
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds"	10211	12255	2095	47493	17313	59243	58573	18701	31950	20159	92927	37718	9337	34193	11929	17929	9161	5458	8858			1093356	1514149	1750649	2241031	2713587	2751749	3019925	2221342	2502803	3269556	3848120	3875245	4043671	4183596	3466487	3188298	3373243	3495618	2716650	2624687		11759	18737	3428	49759	38191	72223	96791	24370	41972	49935	192707	87989	20229	127579	44260	109430	53545	17327	22046		
96	"Miscellaneous manufactured articles"	13861	13408	13998	14046	18486	22741	23005	16298	21550	27172	27404	26440	27829	25343	26608	25592	25974	23637	18234			1086165	1088428	1184946	1254870	1337886	1422737	1391169	1163317	1290443	1325913	2176675	2284384	2340067	2320164	2373333	2427964	2546412	2429393	2272530	2331634		50470	50500	56572	67822	85614	97393	107477	88334	117837	173061	185802	193288	204948	186307	173794	178470	189263	192851	163648		
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	728	427	635	927	1380	1341	2095	1495	2775	1930	1655	17996	10666	14222	10626	9435	9175	8627	11020			2759118	2928118	3310488	3680140	3840243	3865503	3799671	3527225	4028222	5082222	5024709	5134103	5256621	5088511	4968660	5393759	5253279	4883256	4010945	4861823		17913	23491	33174	43115	55873	66401	82547	77675	91510	121422	156758	224910	262563	212415	217365	203438	234937	220098	200753		
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"	1044	1213	2133	3938	2996	4250	8267	3019	1920	3333	17207	29905	50139	44250	67934	51842	51640	89984	111947			688019	758298	1183553	1331042	1525090	2509820	3303238	1948772	3223273	4113779	4252530	5770114	6164740	4448509	3904739	4476973	4615200	4955623	5417059	6528801		32038	6385	6766	11795	11518	17853	25087	12043	11369	47726	118029	57383	121114	91729	145538	112419	112451	155315	208645		
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	371	318	333	421	428	690	4806	10231	9296	6488	6053	4360	5187	4279	3575	4126	4008	3091	2553			643313	657969	687043	737892	929699	1272085	921891	909199	830992	870423	955146	912462	936165	887782	877917	912438	915837	949831	965204	1057224		5310	5457	6338	6616	11656	35388	37042	20205	20157	17555	22193	24142	26183	23538	31667	41342	49039	64488	71256		
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	12159	12767	4688	10756	12186	14504	19147	20194	23281	26263	28846	26078	32505	34019	29854	26846	26510	25267	18164			934285	962365	932501	1081752	1161637	1306877	1459883	1525763	1658406	1859174	1965870	2227514	2408903	2298304	2160183	2162382	2186698	2067755	1961980	2332801		63220	62337	61679	86073	89369	112000	163209	157870	179963	215689	233601	249428	270196	252416	224330	209263	259466	247778	307191		
23	"Residues and waste from the food industries; prepared animal fodder"	32861	40188	64179	91652	135071	168369	257245	112585	97509	147526	214266	319224	370255	470218	408265	517024	685436	606542	711379			3628701	3626134	3499116	3693199	4141677	5073689	7174188	7165913	8332980	8550403	9908645	11780243	11957905	11262749	9892612	9567869	11124889	10371685	10906826	13228770		149821	170718	224079	237015	280267	390773	574737	515697	540048	613228	776403	842070	879543	746617	745140	757187	900812	843107	927128		
24	"Tobacco and manufactured tobacco substitutes"	43	3	66	136	27	587	128	64	6	13	661	967	5	201	441	627	43	243	48			3034829	2925156	2654235	2334303	2507539	2369558	2097557	1697126	1671102	1695719	1657584	1909887	1805453	2077161	2297815	2179907	2324503	1804660	1047922	1165716		42235	41365	60148	23227	24266	30469	33323	17176	25191	26389	81088	83426	68319	86805	88360	92538	72224	94533	113791		
44	"Wood and articles of wood; wood charcoal"	2465	2834	3002	3062	3940	3812	5256	4039	3697	3663	9346	6587	11154	7829	5872	7553	6157	5880	4087			5100131	5182426	5892661	6129831	6537370	6823154	6783669	5451492	7076309	7914476	7890641	8963664	9745328	8928099	9022248	9776719	9868241	8323691	7654931	9730896		34613	33206	42480	57641	73766	107844	124906	104556	156750	182016	214450	229530	270693	226327	203506	206392	239196	219887	206266		
45	"Cork and articles of cork"	26	35	24	47	75	145	109	63	101	147	184	207	263	267	406	273	384	308	318			45585	50365	45195	51124	70103	44295	53580	40284	37806	36098	31126	28936	30571	30963	31491	24696	23407	23248	19464	21091		390	443	478	608	523	704	601	532	540	729	869	890	1824	1396	1576	1185	1181	997	714		
65	"Headgear and parts thereof"	1150	1402	1053	2388	3439	3656	13586	2370	2717	3025	3803	10295	3200	3856	2243	4647	1657	2316	2334			111961	110490	129385	145912	154486	166616	207096	179441	200429	232940	272702	263825	272910	293750	326155	301271	329219	330336	296624	360844		3942	4659	5229	9953	13899	19727	29184	16315	21601	31555	38455	48795	48734	48196	41542	43639	44435	50757	41033		
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"	997	1006	993	1436	2342	3255	3007	2733	3741	3358	3473	4272	6585	3730	3621	5674	6172	5199	3570			13496098	15189649	18055549	22013969	31427667	40446158	50899446	38414676	51742636	71785843	72106219	71641926	64089621	58743797	57780402	60268348	63804887	59700321	59817926	82256814		11282	12499	15258	21861	28490	33808	45879	33949	48762	69267	79521	88217	98734	89733	117491	79631	64465	68714	46876		
72	"Iron and steel"	10341	24008	14081	42702	52332	111735	179201	32141	50347	68471	81253	85743	44661	28834	13406	20761	21489	30603	10333			4988256	6634306	8971270	11400075	12621402	17097396	23834675	15399594	19825320	25361376	22838006	19681569	18565400	14545580	12871594	16105430	16488846	14347291	12299160	18557155		338517	437468	738169	933273	1065629	1453916	1863063	886680	1387071	1736004	1869390	1734983	2012370	1596938	1252059	1348346	1807965	1551866	1172038		
89	"Ships, boats and floating structures"	11518	8776	20494	31429	3910	28032	29584	41299	49157	52757	85344	58231	83922	28109	28651	12384	17434	8216	8496			1239818	1322735	1786382	1993764	2699957	3160366	3242698	2041853	2629064	2602971	3533868	2677519	3400936	3132696	2342198	2164697	2604579	2370821	1998211	2309930		13138	17543	76482	58879	30894	76078	140644	144269	147582	217711	299901	301713	326808	363711	110186	52411	46389	24610	65777		
91	"Clocks and watches and parts thereof"	1526	1196	1209	1833	2979	3107	3749	2667	3038	2577	1894	1814	1899	2138	1684	1278	836	830	632			416698	466755	559182	523618	672959	795364	825999	780169	918043	1134292	1253767	1230612	1327309	1316791	1250994	1407475	1550828	1658472	1253682	1518379		17244	20273	22831	26665	33832	40509	46235	40374	54393	72991	78818	76457	84484	67514	56729	56210	64216	59916	46020		
92	"Musical instruments; parts and accessories of such articles"	736	656	673	1012	1290	2113	2572	2521	2518	2273	2129	2555	3204	2319	1712	1481	1680	1676	1067			428812	453385	533823	602894	629598	664093	748788	688569	707512	815051	858184	829012	822357	774629	763767	720836	749123	793320	688066	851357		4909	5662	5063	7259	8665	12339	14582	15434	18626	25376	24774	23493	25408	21091	17676	15020	17728	17297	14366		
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder"	53868	35871	49044	55225	80238	110818	121289	105613	79434	67342	111864	82117	146913	253657	225538	242100	272722	238008	210609			7451090	9664615	8671437	8374450	9119053	12672833	18672011	19558426	21959179	21231784	29688507	26955339	28862025	23599315	27718131	26387756	22411370	23906961	30833296	33061730		152020	137587	161607	133660	137649	167844	173850	190329	209169	220095	244377	271218	308443	296487	287451	294397	330499	298184	278976		
18	"Cocoa and cocoa preparations"	2522	1873	1320	1480	1917	2045	3004	2970	3490	4585	8762	16225	19379	18080	20643	16278	17866	17025	16306			653781	724551	792075	825785	895676	1013378	1183395	1161575	1385233	1592860	1717001	1870355	2117070	1948838	2035011	1991055	1935862	1925616	1682692	1971151		28739	18049	19539	24821	31815	46174	41753	39699	70777	90179	73419	62815	79744	74313	72821	52168	61298	60538	59379		
26	"Ores, slag and ash"	2383	2657	2396	3665	4355	6015	5361	4293	4753	8215	5496	3149	3013	1416	1432	1059	997	385	47			1112120	1267564	1790679	3474646	4781275	5833835	6487638	3496874	5558831	7700074	7019870	7321029	8362920	6810950	5705531	6011334	6744243	7285187	6509311	8494952		10063	13189	16125	17513	23728	37982	48908	22024	24344	26332	31235	26299	22396	16773	13059	11839	18185	21489	14849		
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"	47711	45767	44376	48664	51709	63239	83628	57196	79098	92939	106606	95592	98869	96070	86778	95201	92962	92542	85382			5931777	6110417	6846311	8633559	10047804	11655952	13709450	10963755	12853530	15295629	13658258	12435825	12665078	12364685	11314401	12389990	12476050	11449253	11039947	13523337		143026	150134	179995	221563	246807	275717	388201	304408	336205	416381	439093	395264	379348	367082	337817	350401	395872	360990	342386		
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	85078	85582	89667	108679	141181	186132	193333	146940	161103	165227	154067	169947	149212	140628	133682	126797	157514	122439	99819			10334964	10640990	11521067	12368868	13216633	14337359	15556986	13674318	15784737	16945425	16057949	16400341	16337334	15696614	14864640	15766059	16397732	15062227	13794697	15339370		314139	325931	375304	442226	515797	627206	684139	534381	640697	719089	701119	684806	693161	605115	553033	589354	700571	616490	508258		
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	1454	2210	2299	1834	1708	1990	1641	952	3227	4814	2199	1540	1252	1761	1963	1184	983	0	1			120205	121595	108657	106538	124516	103056	86639	83494	87681	84842	84303	99710	83033	86070	66766	75173	76218	60193	45452	61214		28004	37556	33913	30596	28883	28129	28732	15567	15103	25098	20814	19077	15833	13055	10884	8748	9109	7923	2525		
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	314	93	77	112	94	151	429	900	209	254	237	164	96	26	90	29	121	262	128			44555	30835	27530	17085	21006	20878	20356	21185	23544	19079	17114	16786	20049	22375	19429	20101	19836	17793	21963	21705		3279	5071	6810	6398	5440	5663	5401	5998	5770	9783	11208	12803	11167	6247	7549	5189	6645	10611	5106		
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	3824	7373	8123	7767	7925	4953	8439	1603	2141	2184	1894	1636	1244	1064	925	1766	940	655	409			923864	714053	845566	832962	791521	659989	574690	473812	526853	509007	494488	485604	502314	493206	464672	492175	504062	467552	337912	403332		16374	21778	27291	32014	43110	29055	32151	19437	29199	34830	36353	36131	35729	32008	31787	27611	32412	30087	25056		
61	"Articles of apparel and clothing accessories, knitted or crocheted"	6556	9775	2965	5017	4365	5774	5964	6951	8008	18075	12010	16446	14816	8190	3950	3830	3180	1374	651			3223757	3030172	2704467	2583764	2508838	2049313	2011252	1952870	2169167	2332334	2448879	2645962	2730349	2736480	2611463	2685018	2905524	2965433	2317221	3014943		26637	29355	31036	38576	57120	102886	137415	129439	165224	282810	338541	351480	383691	302142	235888	276530	322419	305338	200017		
75	"Nickel and articles thereof"	780	645	1465	757	929	3219	1519	538	1865	2873	3024	2154	4400	2156	1420	1532	1987	1650	1055			607124	580101	726339	998643	1405477	1961017	2088733	1344510	1702240	2231076	2170240	2107338	2205911	2189425	1883751	2006842	2760988	3120255	2212008	2202512		3120	3041	5994	6507	7274	23843	11403	4699	11183	12473	11890	5867	10027	8111	6090	4899	5198	5164	4315		
80	"Tin and articles thereof"	108	22	47	26	21	134	21	18	111	179	237	95	108	29	45	78	100	30	35			61381	62088	86544	102829	123553	150955	209493	129004	222217	243649	197527	189957	207600	157289	155619	149446	150824	162074	144684	238230		1737	2224	4163	3849	4937	7054	8580	5368	8798	12261	8380	8539	9218	6642	6295	6939	6750	5792	5033		
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	390	483	644	893	484	677	813	352	1039	928	851	677	1320	1591	437	253	340	1114	553			27596	26005	37557	20046	25597	21198	23028	60682	168397	97830	48826	55649	32155	31891	29366	39411	38468	27034	28898	32414		651	992	1123	1366	1081	1405	1467	1095	1551	1573	1761	1216	2019	2314	1886	1677	2855	2454	2142		
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	5858	3714	4960	5543	7634	10212	12122	11414	12279	17175	26428	48800	59827	57754	43145	35262	38165	36861	33730			2130927	2107467	2210584	2416300	2710446	3020823	3638312	3499099	3778291	4404190	4750359	5071678	5193694	5425736	5058994	4990335	5076793	4970914	4502981	5008567		24482	21292	28653	31302	38137	49604	64582	50261	66602	82575	103519	126318	142697	143401	136131	133706	152283	148950	137281		
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ‘dental waxes’ and dental preparations with a basis of plaster"	19843	18912	22657	24805	33631	41602	45960	45018	55351	68473	79990	79846	91311	85393	72559	70230	77091	74712	70245			2466533	2758793	3236032	3493580	4008063	4410588	5262575	5013115	5861893	6476646	6860866	7116871	7380187	7109247	6960402	7211063	7267569	6936268	6937720	7707375		60011	61684	73271	81352	96667	111191	140506	132143	163448	205986	233873	246510	278204	251714	217483	226926	234995	221116	221146		
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	4688	3494	4869	5567	6799	5925	12692	10464	12127	21706	17329	12564	12886	9855	4291	5641	10406	14046	3932			308443	427212	488317	500253	571051	626636	654049	640073	804463	812260	874116	840544	864155	865327	821377	785015	761116	760334	603976	657085		9151	10528	11446	14245	16377	14875	29207	25557	35652	55354	46275	37282	40535	39924	25964	28320	40860	34509	16939		
55	"Man-made staple fibres"	13996	15742	21734	16628	16503	11168	9531	4578	4560	7717	5842	11145	9362	9363	4391	4114	5609	5268	3845			1542188	1570190	1725543	1840913	1894490	2029764	2190528	1852249	2257754	2635624	2632975	2741198	2710528	2463788	2239271	2164197	2279988	2212231	1784270	2092776		79121	83811	115061	121625	153645	184576	193914	158492	210441	327256	284534	267750	286987	249953	258068	238783	292384	258099	222740		
79	"Zinc and articles thereof"	557	557	948	912	1237	1234	1425	1177	876	1057	844	1395	1621	1529	4171	5082	1589	809	673			95811	107807	159325	158549	277380	324102	282541	186392	289233	323616	395246	322859	443107	348224	505626	451697	424700	363970	264849	407178		19167	20443	29383	35300	85232	99724	65073	41647	64482	65405	59080	54002	62945	59811	53427	71808	73886	49093	44795		
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	21513	21348	15837	24002	49412	41162	50990	40372	43797	61772	57217	62503	57008	45885	29625	39545	36150	33011	18949			2796085	2874859	3211884	3460966	3864732	4202862	4703519	3700672	4711937	5392655	5464842	5496735	5459301	4959029	4581990	4652258	4839775	4634822	3900865	4740156		72076	71054	74281	90365	132122	156428	188484	145477	177723	259305	269370	270272	280340	236483	204813	218835	227918	220438	178061		
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	639775	762724	852640	1119383	1404507	1721366	2157022	1914993	2109136	2275128	2262659	1974011	1962276	1773698	1078043	1168298	1235423	1127358	985084			130189193	131032312	135947026	150905240	182034125	198459863	212359665	153167236	182902861	205826160	215180488	213482188	219766259	206322326	190945121	202065162	213370247	206126759	182709808	209284552		1663129	2121071	2743515	2916670	3617741	4973117	5938468	5233390	6030990	7437035	8140770	7918266	8210875	6924618	5262236	5485287	5812878	5733539	5155595		
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings"	10007	8218	8802	13399	17265	18707	33516	20679	26317	38135	41557	41150	45489	40815	32387	34144	36687	31738	16790			5727007	5649621	6157389	6696443	7559253	8271002	8973075	7001328	8591937	9552824	10622790	11103952	11843287	11555749	11017358	10811435	10835329	10245746	8512601	9247130		38115	40348	56922	86739	122365	186305	225975	179131	266811	350664	393765	404486	438501	374472	324701	333568	394193	381814	284979		
