Product code	Product label	Colombia's imports from United States of America-Value in 2002	Colombia's imports from United States of America-Value in 2003	Colombia's imports from United States of America-Value in 2004	Colombia's imports from United States of America-Value in 2005	Colombia's imports from United States of America-Value in 2006	Colombia's imports from United States of America-Value in 2007	Colombia's imports from United States of America-Value in 2008	Colombia's imports from United States of America-Value in 2009	Colombia's imports from United States of America-Value in 2010	Colombia's imports from United States of America-Value in 2011	Colombia's imports from United States of America-Value in 2012	Colombia's imports from United States of America-Value in 2013	Colombia's imports from United States of America-Value in 2014	Colombia's imports from United States of America-Value in 2015	Colombia's imports from United States of America-Value in 2016	Colombia's imports from United States of America-Value in 2017	Colombia's imports from United States of America-Value in 2018	Colombia's imports from United States of America-Value in 2019	Colombia's imports from United States of America-Value in 2020	Colombia's imports from United States of America-Value in 2021	United States of America's exports to world- 	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	United States of America's exports to world-Value in 2018	United States of America's exports to world-Value in 2019	United States of America's exports to world-Value in 2020	United States of America's exports to world-Value in 2021	Colombia's imports from world- 	Colombia's imports from world-Value in 2002	Colombia's imports from world-Value in 2003	Colombia's imports from world-Value in 2004	Colombia's imports from world-Value in 2005	Colombia's imports from world-Value in 2006	Colombia's imports from world-Value in 2007	Colombia's imports from world-Value in 2008	Colombia's imports from world-Value in 2009	Colombia's imports from world-Value in 2010	Colombia's imports from world-Value in 2011	Colombia's imports from world-Value in 2012	Colombia's imports from world-Value in 2013	Colombia's imports from world-Value in 2014	Colombia's imports from world-Value in 2015	Colombia's imports from world-Value in 2016	Colombia's imports from world-Value in 2017	Colombia's imports from world-Value in 2018	Colombia's imports from world-Value in 2019	Colombia's imports from world-Value in 2020	Colombia's imports from world-Value in 2021	
97	"Works of art, collectors' pieces and antiques"	121	67	31	81	72	274	275	106	105	272	400	384	309	213	121	168	339	158	120			2558346	2737256	3518848	4314460	5570748	7024254	8008232	6498403	6452107	6909174	7387629	7698714	10192997	11030598	11216594	11737081	14559304	12612384	8184377	8688058		465	243	806	387	682	790	914	797	872	1249	2723	1351	1872	1335	1795	1335	1136	1692	777		
01	"Live animals"	3496	4221	2268	3776	3770	4220	4908	4796	913	1612	1735	1653	1247	520	3161	1403	1123	1468	1024			644019	791012	516582	664022	754874	749219	859503	796794	814890	1038251	1189530	1019525	944407	758215	783977	1006995	1105392	1027931	965955	1277562		7518	6992	6551	7774	8759	9028	14886	14527	13778	10989	10611	12035	11211	13739	13320	14322	16286	17972	20214		
13	"Lac; gums, resins and other vegetable saps and extracts"	5454	6631	5396	4971	5232	6035	7957	8339	11730	9960	6982	6841	6692	5462	4792	5210	5759	6671	5136			286160	308342	327068	337940	368124	400570	490884	513928	566017	602083	743281	619079	605390	573087	556020	562105	690375	666062	603857	634536		11966	13511	12850	12423	13855	16022	20280	17969	24083	23756	21668	21226	23782	22371	20485	19101	24118	25980	22330		
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"	16809	16399	16509	13878	11595	23139	109572	18171	28861	112270	38257	52221	49052	80158	84259	125397	128384	76831	135967			1928369	2028912	2022568	1884695	2114103	3030359	4753292	3503768	4648763	4993033	4627662	3791208	3400967	3167653	3195651	3319106	3160658	3085712	3589233	4320695		121127	154273	178609	167821	174433	244782	418422	295214	457357	619625	635454	522395	593034	494967	600428	598142	628509	504466	591321		
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	38408	29245	30403	35872	45285	51404	52860	59010	69014	76859	87673	94843	97860	95958	90462	97366	94965	91677	82759			4425927	4933162	5536132	6053609	6717631	7613509	8484091	8087629	9094029	9633633	10452105	11133099	11551622	11807215	12049254	12954788	13614181	13837081	12345177	13562177		160405	154221	172120	210151	266465	310512	369026	371971	418178	538748	576337	604394	625540	613346	564517	571386	569490	584706	547197		
35	"Albuminoidal substances; modified starches; glues; enzymes"	9089	10870	10514	16681	19318	22994	23294	21144	26897	28657	33373	31134	33447	34603	38838	42478	44493	46989	39502			1697411	1490771	1663212	1845821	1983492	2248070	2490362	2229118	2709811	2973428	3064813	3276554	3475743	3389982	3394711	3595321	3578267	3687303	3748888	4697442		29405	31541	32502	41942	57166	66581	78841	75498	94697	109584	126653	127219	137831	124237	123307	132996	138299	142752	130418		
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard"	33125	36502	28948	39059	46567	60332	77838	52708	81841	87499	73892	80143	87919	86794	77816	73642	91106	99654	74153			3946865	4207399	4610829	5201428	5861108	7062491	7940856	6801433	8861532	10102766	9311759	8965490	8967772	8703927	8432311	8764657	9393011	8477960	7601602	9677033		73289	78790	82063	89660	109777	130903	161258	100473	175917	170446	151799	155382	167087	155540	133003	148262	176874	162180	130083		
54	"Man-made filaments; strip and the like of man-made textile materials"	26784	33922	34147	27033	26150	28135	25971	19906	22407	25816	23239	25013	22023	22622	19850	18991	19546	18199	15601			1922583	1779874	1869707	1747719	1790127	1706700	1658990	1189744	1570872	1740539	1754243	1775971	1878510	1789330	1717052	1776904	1765944	1712429	1291651	1475016		139588	140228	165884	176537	179180	216758	206742	167068	217738	298341	296720	311332	323390	291222	264631	235502	303542	270103	235822		
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	13088	15554	11581	15468	22846	22729	27355	16149	21752	36682	33550	33994	32224	31153	24136	19657	19803	13748	13352			1100084	1277607	1428658	1667242	1881402	1756311	1927842	1695251	2098668	2257364	2295696	2445354	2513067	2372908	2314225	2408880	2480128	2420202	2396432	2605809		47531	49614	52471	69166	88230	89879	111033	90089	91872	151383	132257	137310	145643	146294	110393	105812	111791	94380	125793		
57	"Carpets and other textile floor coverings"	2906	2499	2541	3531	3778	5014	6696	4715	5925	8412	8789	8406	7356	6760	6665	6627	5117	4109	3035			709971	712032	811489	932701	1010919	1035430	1110153	857872	1006281	1077287	1105466	1125050	1118767	1031985	974400	999212	977845	910870	773428	773521		6238	5251	6579	8891	10843	14875	16950	13822	19526	26917	28183	27444	30449	28126	23592	22751	26448	22183	17377		
