Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"Mundo"	12301486	11897488	13092218	16729678	21190439	24390975	29991332	37625882	32852986	39819529	56953516	60273618	58821870	54794812	35690767	31095444	37770123	41769699	39496225	31045676	
"United States of America"	5344533	5328470	6160245	7042201	8851631	9948230	10609167	14288833	13123466	17143277	21948535	22216238	18692895	14470697	10052617	10215894	10975962	11080579	12265471	9442028	
"China"	19907	27825	82204	137504	236689	452420	784758	442953	949726	1966624	1989061	3343081	5102171	5755135	2263725	1127140	2004460	3748187	4564929	2670041	
"Panama"	265163	214697	170524	216490	264140	257484	246322	318980	309589	936345	1956816	2916011	3219265	3615462	2394166	1912114	2699759	3597082	2360822	1510555	
"Ecuador"	699929	811559	778966	1010665	1324408	1237076	1276036	1499562	1257334	1824535	1908592	1910498	1974770	1884349	1432593	1199721	1465057	1851967	1954313	1473607	
"Brazil"	166704	107823	92848	141188	141348	190701	471366	648941	576636	1040263	1370308	1290579	1590629	1622413	1189887	994850	1363480	1561755	1465743	1274000	
"Mexico"	261342	306584	358163	525067	610934	581599	495448	616957	535706	638215	704938	835104	863806	914416	914260	936878	1536662	1638112	1408994	1161018	
"Italy"	196156	221641	285174	361069	439008	478882	556489	407417	452305	527123	744748	468080	464736	962000	490372	439126	480670	441526	776292	961298	
"Turkey"	215	5903	55851	65060	115011	127413	132280	184487	330967	214645	596103	780770	624387	863127	748064	761326	1405663	1691119	1198124	915160	
"Peru"	277458	347314	395374	544250	710089	692046	806060	854618	788032	1131840	1396867	1582089	1273933	1186627	1148078	1050798	1113826	1165001	1145950	854293	
"India"	2898	4077	6330	8168	5350	62854	76889	15685	449134	364999	731878	1362710	2993066	2738698	550468	225635	279640	548077	346182	795165	
"Chile"	167991	171517	188201	254345	296174	258760	375831	848855	627077	906925	2205006	2189220	1571633	988882	736749	670048	1037405	1190345	967863	774266	
"Netherlands"	114302	128839	301076	386158	439704	513297	836178	752336	1344590	1617219	2524104	2503054	2272605	2117118	1489798	1206479	1542294	1034657	1215053	698997	
"Free Zones"	0	0	178853	0	373057	461238	610148	544030	290427	198240	211486	259242	63107	65133	235103	547117	558355	308023	423725	623473	
"Korea, Republic of"	43647	46576	75558	92809	135950	201080	110887	113111	107131	372661	276148	335985	229995	519683	229363	402062	457039	627432	482030	571988	
"Spain"	140538	204667	196891	211923	348620	515693	581337	623204	483024	565130	1720161	2939792	2879035	3263411	1581002	1159381	975000	1190336	500049	499304	
"Germany"	416905	331743	264399	264892	339202	360433	552659	637579	365365	249930	419384	395212	780360	633520	495743	475869	473226	449453	482663	495996	
"Belgium"	210404	241066	227777	288942	368176	369093	389174	460193	408716	450234	620668	488151	494721	461632	481466	450954	507133	404328	486827	423032	
"Canada"	142503	164076	176505	155802	297973	275148	266242	326476	385593	532126	614416	466978	390152	664785	417025	387534	526330	797575	446194	414686	
"Japan"	164731	193491	201532	262078	330181	323750	395288	371562	336296	511058	527963	360240	387855	420904	519899	427631	557359	474064	466280	402401	
