Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"United Kingdom"	287275	159361	184361	279721	319954	394963	409710	676576	746619	663153	1196013	1128599	1115789	1090186	632792	481857	403093	420778	470398	377185	
"Guatemala"	76698	82775	91101	127228	142193	157250	160567	184636	179204	287952	573512	588797	670433	272947	218192	303393	295556	342033	394752	317822	
"Israel"	77435	89108	89161	104213	197957	187922	167982	196110	172978	274378	672387	525822	409634	526447	292513	275511	302694	429435	365993	298878	
"Dominican Republic"	102839	165559	342415	436779	583269	583399	621614	750661	483221	627252	620730	669250	363430	282293	259277	283799	347059	327633	346212	261976	
"Saint Lucia"	1935	1141	1403	1642	3259	3594	5168	5974	5733	4196	66466	7308	59599	224797	161911	70895	618784	797150	868414	256268	
"Argentina"	37098	13102	18898	36343	47382	51187	74110	132549	98586	130382	305250	288253	433026	201122	150654	176212	265577	295541	236370	211024	
"Costa Rica"	149821	152299	193708	235232	219450	242180	283088	378372	291252	464120	434877	274486	276516	264490	247581	229554	239686	251065	243824	207893	
"Hong Kong, China"	16246	15947	16042	17748	12688	12762	23119	34698	63301	60803	57841	425998	78444	63139	66931	99768	84320	94403	142445	198330	
"Venezuela, Bolivarian Republic of"	1737388	1122152	694333	1623042	2097591	2701734	5210332	6091560	4049561	1422877	1750410	2555961	2255826	1986938	1060173	613933	319383	354294	195927	195981	
"United Arab Emirates"	1915	2017	1282	4366	13683	5108	8479	10549	7946	43242	12515	11686	51473	120450	23137	33267	26290	129856	189180	189584	
"Bahamas"	9004	47132	38920	44227	70470	15774	2769	44110	2543	192829	451620	542051	588974	802328	671849	303044	797138	387474	236781	172220	
"Australia"	13581	12974	13290	21135	17206	16264	17110	22238	19466	33672	37954	40205	47764	49594	47846	47577	57021	56283	85334	145446	
"France"	140242	143717	154609	211067	184320	377784	484395	290952	239092	356547	488041	306281	356178	178540	127423	170894	222473	204170	139355	143284	
"Switzerland"	50580	165455	128879	152285	140127	560646	884910	945500	1038236	854335	953691	721370	460819	501550	419871	376208	354329	330393	172232	135614	
"Poland"	5582	4173	6770	3318	6964	14750	17422	28703	34338	45697	56731	16326	10342	14389	15058	67726	87304	126942	137553	114490	
"Bolivia, Plurinational State of"	41761	36939	36421	59599	49801	58501	65550	101851	90412	106646	141300	125255	143726	138772	149215	148687	155276	142951	134611	102596	
"Russian Federation"	51928	41303	35960	55391	73898	54506	74068	92943	77318	95106	100462	118692	116782	113892	95339	73081	81766	109571	94673	102278	
"El Salvador"	29137	31844	37621	46175	51472	49579	50172	91032	78644	99532	445151	66516	82299	85634	80953	83826	93521	95132	104937	100794	
"Honduras"	24594	28566	35237	37057	46417	43552	58045	61060	49043	173326	293073	185381	216426	89931	82567	78832	110473	95676	94585	84753	
"Finland"	58944	49776	57072	64527	23891	37204	63990	63671	24570	84966	68510	55346	58075	73729	95242	69938	71431	70010	73116	79137	
"Bonaire, Sint Eustatius and Saba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	233684	128406	118736	115642	76752	
"Iraq"	11	0	3	540	514	112	561	516	355	1231	1078	2710	25056	35845	1478	26287	19414	21182	50089	70116	
"Taipei, Chinese"	24182	44050	52250	76780	89660	94172	65182	322030	27532	188087	110271	44583	40153	40537	58283	41406	91291	110281	73656	66508	
"Côte d'Ivoire"	605	220	3671	3569	537	1071	1058	1188	2920	214933	176343	110145	23808	113103	105511	104469	40693	113783	135112	64718	
"Trinidad and Tobago"	171370	57295	98408	70537	197745	206563	342267	522794	378992	240103	1000916	570695	446804	142426	191577	84471	255574	308040	36996	61132	
"Malaysia"	1305	1085	1022	1242	1900	3400	3120	4733	5507	51096	14084	221575	106748	23876	100094	95434	149881	167730	55707	58221	
"Lebanon"	891	4302	823	1420	1886	1473	2562	2577	4095	24225	44508	33113	14209	31583	51154	17948	40716	26988	24281	51538	
"Haiti"	28507	37191	34257	38392	44380	68088	54668	45253	61177	56738	65731	65542	54695	49295	44925	42470	50869	43933	33580	50289	
"Norway"	9274	10056	11212	15141	18787	19378	27848	22011	22255	37844	36241	29741	31677	40086	40037	42754	51422	49572	42729	47570	
"Slovenia"	9356	8688	10107	26355	22430	2503	6914	27990	17739	6895	7581	21835	12690	26633	45697	23239	61590	71800	33809	46308	
"Egypt"	650	502	12067	1199	1223	1541	620	1616	3127	3386	13356	3110	3245	2946	6594	5858	11023	7682	15735	46081	
"Portugal"	70697	57143	88302	113241	148395	158368	185089	195004	178603	151312	312468	327573	322139	263914	305082	213562	397468	318609	184914	45611	
"Aruba"	10948	7698	12611	42926	136176	228903	14705	23666	18609	97234	1724064	1027488	1716467	1170603	869209	350202	250004	181566	45874	40920	
"Jordan"	563	818	955	1053	1332	1358	2819	3371	2147	2749	2198	8411	3430	3329	9483	25441	30367	22405	13926	40896	
"Uruguay"	10406	5387	4354	5574	6828	5563	9081	18888	11990	14300	22148	20122	23226	21111	29761	19438	36132	54046	54312	38145	
"Sweden"	32732	29721	26775	29081	42481	49337	49791	54700	45984	39224	55986	45327	41230	58217	42960	44062	46927	37045	34791	37764	
"Thailand"	7370	7195	8253	10871	11602	13894	14847	22070	22998	46847	37367	38163	44435	37821	38385	48237	29892	24932	34377	36877	
"Ukraine"	1632	1537	2234	3063	4741	6458	4671	12490	6845	6642	15303	9876	13866	15670	14054	7275	18938	9918	31400	33207	
"Nicaragua"	6304	5026	6223	6221	11134	9663	10254	9827	10975	7639	11219	8790	10535	9933	11650	13985	64643	85049	26859	33069	
"Paraguay"	4692	1153	1391	2140	1838	2415	3530	6028	6916	10267	12729	14251	18367	18728	22579	22438	19922	26283	23532	28046	
"Jamaica"	27636	22162	29512	68312	92914	59445	45605	39884	48448	51380	60062	49487	41811	39693	49235	55357	77911	102784	82807	27041	
"Saudi Arabia"	4127	4922	3468	2382	4251	4393	4859	3038	3757	2622	7835	6964	5849	7296	7013	8531	11066	14448	18866	25897	
"Cuba"	24030	62283	61013	32668	63688	48577	50509	59830	35662	34583	40355	32126	36152	34994	38806	33517	37796	49995	39670	23808	
"Curaçao"	0	0	0	0	0	0	0	0	0	0	572989	750024	368942	286244	24711	26887	21424	24551	29366	23025	
"United States Minor Outlying Islands"	16	1772	78	325	112	0	643	3744	10668	801	66	41	55	95	173	116	24114	295	290	21594	
"Viet Nam"	100	16	265	175	306	396	468	3464	9042	9094	11361	10019	18890	16570	9061	9525	27872	40837	33424	18317	
"Singapore"	9243	7176	10849	27386	23295	15015	70798	439935	104525	421707	281394	427089	61387	231852	367848	66128	357780	409780	229746	18284	
"Gabon"	37	67	65	148	100	167	33	429	2890	0	724	650	2589	5098	9366	9877	11592	28938	21358	16639	
"Greece"	6812	2885	3234	4881	5295	8252	11021	11648	8115	31048	44389	19270	12286	8602	16015	24381	24456	20452	19854	15966	
"New Zealand"	1543	2196	2504	3035	3915	4408	5058	6299	7552	7099	10289	15235	11938	14313	11821	14436	14648	15392	15438	15358	
"Malta"	90	92	189	230	10	844	826	53	115	25	118	198	111	136	478	17333	547	708	646	13227	
"Morocco"	1163	1590	3683	22652	9124	7741	35060	20012	83993	22256	9541	4189	4277	4631	3044	5794	30771	21601	17138	12540	
"Nigeria"	1337	3184	8595	1871	2058	3952	1487	1743	9638	3320	52958	30883	8107	7518	20363	4086	4725	5466	8235	11331	
"Romania"	8467	5579	2020	3031	4832	3565	4304	4373	10914	16819	9547	7175	8420	9750	13074	8429	7904	9489	8779	10862	
"Guyana"	2541	2880	3228	3784	4905	5762	7556	6318	10502	9963	10713	7197	7717	7792	12367	9508	10993	11642	11342	10466	
"Indonesia"	2113	2258	2011	2473	4420	2446	3511	7842	20876	27666	29930	130116	14661	5464	6484	6630	7775	6699	7728	8042	
"Philippines"	5564	7743	6124	4763	7401	5358	7423	7346	6807	9075	7750	10140	12663	10421	10698	12441	12268	10321	7239	7355	
"Congo, Democratic Republic of the"	0	0	0	41	0	1	0	74	96	69	0	236	1761	6848	4357	2207	3442	5503	7827	6889	
"Barbados"	3020	1830	2463	1941	3258	36509	32890	117862	73797	5307	5171	6226	39220	4184	3214	7321	4594	61184	5112	6665	
"Suriname"	3005	3699	5219	5614	9135	9159	15838	12396	16016	12956	13559	9143	9065	16531	10202	7423	8191	4925	9734	6188	
"Libya, State of"	0	50	0	32	0	105	313	339	889	543	45	493	11981	3135	1156	1114	2050	997	2150	5489	
"Denmark"	18025	36876	75761	54038	56989	79326	142675	114770	175201	104755	451162	182630	262319	158350	44435	34736	25507	12307	9427	5378	
"South Africa"	6689	4238	15101	33724	27074	62975	118389	23684	33935	80454	21146	135744	45094	165313	144338	41385	21347	28036	10555	5038	
"Czech Republic"	1401	1425	988	2430	12423	3667	4952	8257	1537	2168	2366	3672	3508	4255	3353	4880	4875	4193	5021	4975	
"Austria"	3426	3482	2950	3162	4031	5366	4366	3424	1813	1298	1936	1276	1678	1255	2047	1531	699	3489	1897	4412	
"Lithuania"	125	83	484	627	1340	1183	374	1189	13011	316	1584	1403	983	1345	1990	1988	1640	1239	1423	4313	
"Ireland"	25759	20478	14968	43704	58599	55915	25962	64748	99665	77749	178027	164280	154218	89476	111389	70232	105490	73886	27895	3751	
"Kuwait"	779	477	558	2097	1296	1038	1500	1197	1371	1381	2458	1598	2711	3239	3979	3287	2612	3563	3201	3683	
"Algeria"	1224	299	4632	3273	1185	1228	1323	123	167	765	1159	2151	1812	11179	6887	1638	858	369	2490	3678	
"Gibraltar"	1965	136	542	238	660	33	76	45	49	0	28426	0	110	0	0	167098	38960	25820	2	3344	
"Kenya"	3441	26	68	139	173	369	722	546	1400	4463	4460	2463	1417	1535	637	481	440	1707	684	3296	
"Estonia"	835	394	292	47	849	4189	7550	9021	2410	1317	488	320	1775	3575	6920	5709	4328	4709	3060	3116	
"Ghana"	62	219	2256	962	2118	1629	2316	3203	2294	1683	41098	2484	3255	3239	2525	48711	2731	2176	1111	2923	
"Cayman Islands"	3335	125	111	57	266	255	620	671533	323	1657	5540	20769	24054	531	299	765	606	1485	2294	2882	
"Oman"	59	14	4	4	93	36	98	87	7121	152	90	162	263	771	833	1669	636	556	1210	2859	
"Qatar"	28	59	155	114	166	180	256	503	132	139	680	215	148	311	638	874	976	1207	2384	2401	
"Mozambique"	31	48	175	178	212	4	443	1323	2643	2952	3574	1681	2234	2189	323	504	486	5	2626	2267	
"Kazakhstan"	0	7	7	0	99	186	137	159	513	658	447	344	639	485	1033	1040	1412	1880	2355	2248	
"Uganda"	0	33	25	0	6	118	76	199	2747	2749	515	671	3116	620	609	98	672	810	160	2235	
"Tunisia"	257	6605	3198	1566	697	792	58	85	13046	1234	14388	10507	16939	7556	1667	2353	1640	2368	2841	2053	
"Guinea"	105	111	3664	48	18	9	336	568	275	858	579	498	682	847	2754	5119	7736	5607	4580	1961	
"Latvia"	10	25	15	379	653	287	2243	1626	1309	953	2754	787	1087	877	94	769	2978	2368	2743	1891	
"Hungary"	249	327	393	1062	2022	1551	1602	2441	1144	2128	1003	1181	943	2021	1066	1294	1082	4017	1433	1885	
"Ethiopia"	59	0	0	167	160	21	231	157	357	694	285	747	285	144	274	533	258	7064	591	1880	
"Myanmar"	117	30	137	92	0	3	0	0	0	0	8	0	0	5	28	67	5064	86	3020	1831	
"Cameroon"	1459	1586	1476	732	672	1146	1479	1567	2718	3187	1260	3903	1851	6868	1165	939	1598	752	1101	1755	
"Belarus"	0	0	0	34	3	596	181	91	227	617	1128	826	1202	1298	802	395	716	1336	1638	1706	
"British Virgin Islands"	344	1282	814	224	1102	5922	1744	9384	96303	815	365	845	87	173	386	367	130	1472	1008	1642	
"Turks and Caicos Islands"	682	119	224	473	720	2483	1854	1765	939	748	25	16	25	54	35	45	112	885	356	1560	
"Colombia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3284	3949	3996	5250	5683	1461	
"Dominica"	678	1039	1251	1184	1109	1900	2620	1913	1675	2141	18526	7792	1487	2154	1464	986	597	634	894	1426	
"Belize"	352	1153	1266	1021	537	967	817	1748	1518	716	741	947	1801	2517	1656	1964	1903	2569	1459	1372	
"Yemen"	9	138	9	2558	4852	1106	323	553	7181	4060	3016	1798	2833	2816	2222	2806	1932	1327	1162	1283	
"Pakistan"	359	222	872	2040	2733	7816	2543	2123	11475	4975	1791	1916	1618	1276	1482	1471	12428	1769	1178	1224	
"Antigua and Barbuda"	196	603	3738	2497	1366	1933	11200	2402	1735	674	664	1927	611	799	671	643	571	741	1158	1211	
"Sierra Leone"	30	0	0	0	0	0	41	188	0	0	72	29	0	474	307	454	822	1104	964	1201	
"Cyprus"	832	414	286	251	97	65191	205796	354152	66867	576	729	164	225	123	286	165	401	1426	1605	1157	
"Bahrain"	28	547	459	205	666	368	536	1308	697	1615	1491	1474	612	1005	899	773	746	1112	988	1143	
"Albania"	2	4	707	146	26	7	129	394	176	7	537	279	1108	175	178	738	1845	9264	9557	873	
"Angola"	272	33	51	327	1106	565	778	851	5599	4498	6963	11790	13686	14461	5558	1719	1308	1007	2547	872	
"Bulgaria"	140	271	384	248	1618	1915	16291	7073	1785	310	149	467	831	3292	527	4785	6700	542	1028	781	
"Iceland"	189	70	127	270	1864	791	601	183	681	348	585	531	341	161	544	470	636	303	356	781	
"Korea, Democratic People's Republic of"	29	0	700	385	2009	3876	1336	826	100	752	0	0	0	2	0	103	242	2787	2773	761	
"Slovakia"	414	88	659	112	2835	688	1540	2216	979	1263	1218	929	812	963	1351	651	4303	8666	1170	706	
"Grenada"	515	228	397	223	204	1088	296	4271	710	1272	1395	1099	444	730	396	375	812	487	777	699	
"Togo"	44	23	66	876	11	25	229	129	329	339	100	130499	4	575	1244	33254	619	163	166	695	
"Saint Vincent and the Grenadines"	480	363	1197	1012	1388	1972	2388	2761	1729	2104	2833	1142	1404	3590	3662	1882	527	546	393	691	
"Liberia"	728	488	4074	567	636	175	614	919	708	1676	2586	1811	12506	602	1713	735	730	796	467	690	
"Croatia"	2348	73	5068	4947	4340	20715	7617	26131	24144	44057	79983	78490	59713	13310	19223	13141	7042	1850	5847	657	
"Macao, China"	79	96	100	145	202	32	95	126	0	0	209	363	132	190	156	89	266	301	133	641	
"Djibouti"	0	0	0	0	602	0	53	0	118	7	64	104	144	338	218	358	927	493	2047	611	
"Armenia"	0	23	0	0	16	43	70	199	661	648	412	665	277	180	68	59	195	306	513	576	
"Tanzania, United Republic of"	0	0	6	84	407	338	426	1482	2090	3209	2859	2546	2165	2384	3018	2063	2572	1858	736	548	
"Mongolia"	0	39	6	13	2	40	0	77	38	0	0	0	0	1	0	0	0	29	15	515	
"Bermuda"	367	122	155	226	223	3285	213	546	264	207	112	225	188	199	171	93	212	319	314	496	
"Georgia"	4	726	12	3400	3745	74	16	33	279	570	2322	2941	2934	1614	4055	2712	13297	298	544	443	
"Cabo Verde"	0	0	0	64	0	0	0	0	0	152	460	141	165	308	172	346	570	247	234	366	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	45	275	990	783	364	
"Syrian Arab Republic"	2340	6095	6648	5770	1832	12816	10280	4752	15465	20484	11753	2612	1784	1336	2404	1850	2461	1495	1224	339	
"Senegal"	1063	772	2338	970	856	844	471	929	1147	1294	951	27731	5920	861	275	130	323	191	2086	331	
"Saint Kitts and Nevis"	486	205	0	52	67	118	971	289	268	817	776	616	393	567	787	445	387	280	228	305	
"Guinea-Bissau"	0	0	31	30	0	0	33	0	0	0	378	0	0	0	0	0	229	109	170	303	
"Niger"	34	0	0	0	0	104	0	2	0	25	2	25	10	50	0	138	226	75	112	276	
"Madagascar"	387	36	9	294	13	90	150	212	146	141	150	154	323	67	55	310	106	233	313	261	
"Azerbaijan"	10	0	0	7	2	5	7	9	83	198	149	142	166	233	345	90	205	401	382	212	
"Macedonia, North"	3	75	28	0	0	150	13	342	13	48	47	6	5	15	0	0	1	28	24	205	
"Mali"	0	1414	27	351	64	0	310	0	18	0	44	0	0	3	0	152	2152	396	590	190	
"Benin"	126	94	776	885	362	423	2	74	327	130	1995	2009	928	2668	988	676	773	114	262	183	
"Fiji"	434	62	279	184	112	325	102	132	211	434	138	158	104	193	167	217	200	177	126	174	
"Namibia"	0	0	0	14	0	0	0	5	0	0	70	0	32	499	0	0	114	8	0	174	
"Equatorial Guinea"	0	30	158	6	0	29	10	1	75	117	353	192	0	98	116	167	36	122	82	168	
"Bangladesh"	5	878	13	663	4935	777	641	277	219	1104	141	45	209	127	290	223	1175	4646	2546	168	
"Sri Lanka"	673	3054	1725	11568	16194	9945	1252	1041	27990	24239	1051	385	645	6756	384	366	304	606	226	141	
"Palestine, State of"	0	30	61	0	121	26	0	96	24	0	0	0	0	45	273	362	194	448	279	140	
"Somalia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	173	214	139	
"Cambodia"	8	0	9	0	0	25	1	49	55	1781	958	1120	1887	474	1102	1644	338	62	140	123	
"Zambia"	24	89	0	86	0	644	1317	1394	1351	283	492	1315	1598	808	76	119	873	1391	307	121	
"Burkina Faso"	0	0	0	75	0	179	944	49	470	464	0	8	0	0	75	265	68	169	94	91	
"Anguilla"	318	265	222	299	402	43	273	65	73	93	69	0	0	47	27	3	0	3	0	85	
"Tonga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	132	80	142	0	85	
"Mauritania"	0	2674	5246	0	0	24	37	228	212	125	948	355	949	8063	21	0	0	0	6332	76	
"Serbia"	0	0	0	0	0	6795	10550	8517	1911	115	19	2	10	160	36	88	100	154	97	65	
"Nepal"	12	32	0	0	8	0	1	390	0	2	1	3	0	3	14	4	0	0	5	62	
"Tajikistan"	0	0	0	11	1	0	0	0	0	0	0	1	3	2	85	104	21	37	76	56	
"Bosnia and Herzegovina"	0	2	22	208	0	9	13	0	0	16	13	0	16	0	0	0	0	0	0	52	
"Afghanistan"	0	0	41	458	12	96	19	64	2696	1577	0	17	19	16	83	4	0	2	6	49	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	36	171	317	60	84	76	20	127	47	
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	3	205	147	324	219	205	223	34	
"Burundi"	0	10	11	4	0	25	0	31	0	60	110	0	6	46	0	5	8	0	0	33	
"French Polynesia"	13	77	13	108	124	58	59	58	48	0	0	0	290	11	108	0	33	74	44	27	
"Brunei Darussalam"	3	0	0	0	0	2	0	11	3	111	92	5	49	0	10	54	23	19	70	20	
"New Caledonia"	19	109	0	51	165	0	153	0	2	19	15	0	19	139	21	178	20	48	24	20	
"Montserrat"	7	253	0	0	0	0	0	0	58	0	0	5	0	16	31	0	0	0	6	15	
"Rwanda"	0	21	11	5	33	15	45	143	97	125	36	81	3	226	246	140	45	0	26	14	
"Mauritius"	26	0	0	0	19	414	186	3	17	30	109	36	61	230	148	158	52	132	45	13	
"Turkmenistan"	0	0	0	0	3	0	0	0	0	0	0	5	26	29	9	8	8	1	153	11	
"Sao Tome and Principe"	17	74	0	81	85	2	0	312	6	36	0	665	0	0	0	23	0	0	0	11	
"Papua New Guinea"	59	0	0	0	8	0	2	0	9	3	57	11	130	21	226	33	58	93	78	9	
"Lao People's Democratic Republic"	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	1	239	2	2	7	
"Iran, Islamic Republic of"	38	5640	3176	2959	4186	3337	140	94	1324	1626	1096	1045	505	806	745	2355	2160	858	320	7	
"Zimbabwe"	0	0	0	0	0	37	9	0	1100	3007	2440	2182	808	5	0	0	4	117	12	5	
"Eswatini"	0	0	1	44	78	28	5	0	0	4	52	0	6703	10	0	0	0	0	121	5	
"Maldives"	0	3	9	0	0	5	7	0	0	0	1	0	39	23	26	9	72	101	60	2	
"Kyrgyzstan"	28	0	0	0	0	0	0	4	4	62	55	55	24	212	34	10	2	2	0	1	
"Luxembourg"	3	1	116	174	7	2	0	20355	277	432	2161	287	1864	121	104	22	838	2107	8002	1	
"British Indian Ocean Territory"	0	0	0	17	46	0	0	2	69	0	0	13	0	0	0	0	0	0	11	0	
"Chad"	0	0	0	236	0	81	0	0	0	0	0	0	2220	0	0	7	0	13	6	0	
"Christmas Island"	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cocos (Keeling) Islands"	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Faroe Islands"	63	26	0	0	0	0	0	0	89	230	0	79	0	0	0	0	0	0	0	0	
"Nauru"	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	
"Vanuatu"	2	0	0	6	0	97	1	0	0	0	0	0	0	0	41	65	66	0	0	0	
"Niue"	0	0	1	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Norfolk Island"	0	0	0	0	0	54	40	21	231	0	0	0	0	0	0	981	0	0	0	0	
"Northern Mariana Islands"	240	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Marshall Islands"	12	32	0	0	21	0	234	221	0	0	0	0	3	8	0	0	0	0	0	0	
"Pitcairn"	0	15	39	13	0	1	0	0	13	6	0	0	8	0	0	0	0	0	0	0	
"Saint Helena"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
"Saint Pierre and Miquelon"	0	74	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Western Sahara"	347	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tokelau"	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tuvalu"	5	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Special categories"	0	0	0	0	0	0	0	0	0	0	0	0	0	747	0	0	0	0	0	0	
"Wallis and Futuna Islands"	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Serbia and Montenegro"	2754	6325	2318	74	8704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Area Nes"	144426	124724	862	305250	111	612	96	8698	0	42326	1148	22064	857814	1189509	407613	235465	63737	7751	0	0	
"Andorra"	204	172	101	336	111	0	2475	2789	557	28	42	0	0	0	0	213	308	13	2	0	
"Bhutan"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Botswana"	0	36	23	34	0	0	0	2	0	0	0	0	0	14	0	0	0	0	23	0	
"Solomon Islands"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	52	15	19	0	0	
"Central African Republic"	10	0	0	28	187	1699	16	223	7	0	0	0	0	0	0	0	0	0	0	0	
"Congo"	17	0	1006	502	273	758	1384	1431	1649	1618	2286	2281	2151	964	0	0	0	0	0	0	
"Cook Islands"	0	0	0	0	0	0	54	0	0	0	0	0	0	0	675	0	0	0	0	0	
"Eritrea"	19	1254	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	
"Gambia"	38	89	575	152	13	136	36	36	28	635	77	0	0	0	384	0	0	0	25	0	
"Kiribati"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Greenland"	0	0	22	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malawi"	0	0	0	0	0	186	144	383	306	86	94	0	0	87	17	0	0	8	21	0	
"Moldova, Republic of"	27	16	3	8	27	0	103	3	4	0	4	6	74	5	70	21	15	31	3	0	
"Netherlands Antilles"	26832	22431	22314	60429	32626	38255	27639	34309	33466	263765	0	0	0	0	0	0	0	0	0	0	
"Micronesia, Federated States of"	0	0	0	13	0	6	0	0	0	0	0	0	0	0	0	0	0	22	0	0	
"Palau"	0	259	3	0	4	9	0	33	0	0	0	0	0	3	0	0	0	0	0	0	
"Timor-Leste"	0	0	0	0	0	0	0	0	67	75	0	0	0	0	0	87	0	0	0	0	
"Seychelles"	0	0	0	7	0	0	0	0	0	0	89	50	45	104	61	34	43	33	36	0	
"Sudan (before 2012)"	77	25	0	23	158	0	16	108	369	201	12	0	0	0	0	0	0	0	0	0	
"Uzbekistan"	0	6	3	0	0	0	0	198	0	0	0	0	41	125	38	29	36	0	0	0	
"Samoa"	9	8	0	0	0	0	5	274	0	0	170	0	0	0	0	0	0	2	0	0	
